ID,Nombre,Región,Provincia,Comuna,Edad,Instrumentos,Link,Lugar específico,Instructores,Elenco, 
FOJI_A144,Orquesta Infantil Escuela Sor Teresa de Los Andes de Barrancas,Región Metropolitana,Provincia de Santiago,Lo Prado,Infantil,Cuerdas, ,"Región Metropolitana - Provincia de Santiago - Lo Prado , Lo Prado, Santiago", , , 
FOJI_A145,Orquesta Infantil Iván Godoy,Región Metropolitana,Provincia de Santiago,Renca,Infantil,Cuerdas, ,Región Metropolitana - Provincia de Santiago - Renca,3, , 
FOJI_A146,Orquesta Infantil Jose Canepa Vaccarezza,Región del Maule,Provincia de Curicó,Sagrada Familia,Infantil,, ,Región del Maule - Provincia de Curicó - Sagrada Familia, , , 
FOJI_A147,Orquesta Infantil José Antonio Abreu,Región Metropolitana,Provincia de Santiago,Santiago,Juvenil - Infantil,"Cuerdas, Maderas"," https://www.facebook.com/musicaparalaintegracion/ , https://twitter.com/musiintegracion , https://www.instagram.com/musicaparalaintegracion/",Región Metropolitana - Provincia de Santiago - Santiago,4,18, 
FOJI_A148,Orquesta Infantil Juvenil de Fresia,Región de los Lagos,Provincia de Llanquihue,Fresia,Juvenil - Infantil,"Cuerdas, Maderas, Bronces, Percusión, Latinoamericana", ,Región de los Lagos - Provincia de Llanquihue - Fresia, ,29, 
FOJI_A149,ORQUESTA INFANTIL JUVENIL DE MÁFIL,Región de los Ríos,Provincia de Valdivia,Máfil,Juvenil - Infantil,, https://www.youtube.com/watch?v=B8blJXsY6Js,Región de los Ríos - Provincia de Valdivia - Máfil,8,43, 
FOJI_A150,Orquesta Infantil Juvenil Del Colegio De Cultura Y Difusion Artistica De La Union,Región de los Ríos,Provincia del Ranco,La Unión,Juvenil - Infantil,, ,Región de los Ríos - Provincia del Ranco - La Unión, , , 
FOJI_A151,Orquesta Infantil Juvenil Fidelis,Región del Biobío,Provincia de Biobío,Los Ángeles,Juvenil - Infantil,"Cuerdas, Maderas"," https://www.facebook.com/conservatoriofidelis , https://www.youtube.com/channel/UCZOH-AiTfHrEI_6FbgLQVZg , https://www.instagram.com/conservatorio_fidelis/?hl=es-la",Región del Biobío - Provincia de Biobío - Los Ángeles,1,8, 
FOJI_A152,Orquesta Infantil Juvenil Municipal De La Pintana,Región Metropolitana,Provincia de Santiago,La Pintana,Juvenil,, ,"Región Metropolitana - Provincia de Santiago - La Pintana , Santiago", ,26, 
FOJI_A153,Orquesta Infantil Juvenil Municipal De Linares,Región del Maule,Provincia de Linares,Linares,Juvenil - Infantil,, ,Región del Maule - Provincia de Linares - Linares, , , 
FOJI_A154,Orquesta Infantil Juvenil San Luis de Contulmo,Región del Biobío,Provincia de Arauco,Contulmo,Juvenil - Infantil,"Cuerdas, Maderas, Percusión", ,Región del Biobío - Provincia de Arauco - Contulmo,5,26, 
FOJI_A155,Orquesta Infantil Liceo Nuestra Señora de la Merced,Región de Ñuble,Provincia de Punilla,San Carlos,Infantil,, ,Región de Ñuble - Provincia de Punilla - San Carlos, ,3, 
FOJI_A156,Orquesta Infantil Municipal de Paredones,Región del Libertador Gral. Bernando OHiggins,Provincia Cardenal Caro,Paredones,Infantil,Cuerdas, ,Región del Libertador Gral. Bernando OHiggins - Provincia Cardenal Caro - Paredones, , , 
FOJI_A157,Orquesta Infantil Municipal de Vichuquén,Región del Maule,Provincia de Curicó,Vichuquén,Infantil,"Cuerdas, Maderas, Bronces",https://catastro.foji.cl/orquesta/744/orquesta.vichuquen,Región del Maule - Provincia de Curicó - Vichuquén, , , 
FOJI_A158,Orquesta Infantil Pabellon #83,Región del Biobío,Provincia de Concepción,Lota,Juvenil - Infantil,, ,Región del Biobío - Provincia de Concepción - Lota,1,12, 
FOJI_A159,Orquesta Infantil Sename Maule,Región del Maule,Provincia de Talca,Talca,Infantil,, ,Región del Maule - Provincia de Talca - Talca,5,14, 
FOJI_A160,Orquesta Infantil Y Juvenil De Chimbarongo,Región del Libertador Gral. Bernando OHiggins,Provincia de Colchagua,Chimbarongo,Juvenil - Infantil,, ,Región del Libertador Gral. Bernando OHiggins - Provincia de Colchagua - Chimbarongo, , , 
FOJI_A161,Orquesta infantil y juvenil de cuerdas de la legua,Región Metropolitana,Provincia de Santiago,San Joaquín,Juvenil - Infantil,Cuerdas," https://catastro.foji.cl/orquesta/715/Codeinfa , https://catastro.foji.cl/orquesta/715/Codeinfa , https://catastro.foji.cl/orquesta/715/@codeinfaoficial , https://catastro.foji.cl/orquesta/715/Codeinfa","Región Metropolitana - Provincia de Santiago - San Joaquín , Santiago",1, , 
FOJI_A162,Orquesta Infantil y Juvenil de La Florida,Región Metropolitana,Provincia de Santiago,La Florida,Juvenil - Infantil,"Cuerdas, Maderas","https://catastro.foji.cl/orquesta/740/www.facebook.com/orquestastmlaflorida , https://catastro.foji.cl/orquesta/740/www.instagram.com/orquestastmlaflorida","Región Metropolitana - Provincia de Santiago - La Florida , Santiago",6, , 
FOJI_A163,Orquesta Infantil y Juvenil de Olmué,Región de Valparaíso,Provincia de Marga Marga,Olmué,Juvenil - Infantil,, ,Región de Valparaíso - Provincia de Marga Marga - Olmué, , , 
